date,uhii
2025-06-01,2.8193546169670682
2025-06-02,3.972568480810722
2025-06-03,2.825021072803679
2025-06-04,1.0041213465120151
2025-06-05,1.7094317847206995
2025-06-06,5.546413107583646
2025-06-07,6.193392920822291
2025-06-08,3.894791315221731
2025-06-09,3.944122376835523
2025-06-10,2.3396307013508704
2025-06-11,4.694980385998697
2025-06-12,1.5639657770302122
2025-06-13,0.7610046007648492
2025-06-14,0.2244549454877145
2025-06-15,-0.035351197596057204
2025-06-16,0.8045667764179427
2025-06-17,6.902907120999544
2025-06-18,3.723430876092813
2025-06-19,3.0268038203874994
2025-06-20,-9.012561588305669
2025-06-21,-7.49655917661676
2025-06-22,2.169109314989715
2025-06-23,4.0398405908061505
2025-06-24,4.501449585171379
2025-06-25,1.2317733578560421
2025-06-26,4.027921278155759
2025-06-27,6.062696234683948
2025-06-28,6.354247772574993
2025-06-29,5.0785391859574815
2025-06-30,4.3630179117076935
2025-07-01,3.7865815975329014
2025-07-02,6.227082188978052
2025-07-03,3.6034548757068237
2025-07-08,6.721208090783357
2025-07-09,1.5148229557388433
2025-07-10,3.8785698452896398
2025-07-11,4.296314183373582
2025-07-12,9.578480424469369
2025-07-13,7.853202714474385
2025-07-14,4.297685701214036
2025-07-15,5.353671184945803
2025-07-16,3.906711688333445
2025-07-17,4.881695238486344
2025-07-18,5.786925856248899
2025-07-19,7.737187239017096
2025-07-20,6.0073324718730134
2025-07-21,-10.004103149690476
2025-07-22,-3.0150736880023743
2025-07-23,2.074965126674485
2025-07-24,5.867174169895534
2025-07-25,1.8646792791826172
2025-07-26,3.0206394974142654
2025-07-27,-1.1435555402215059
2025-07-28,0.7660300147767884
2025-07-29,3.407151522198255
2025-07-30,-0.20177318499269603
2025-07-31,-5.3920398476527325
2025-08-01,-1.8813356447567529
2025-08-02,0.40611115471458703
2025-08-03,-0.7645279670938336
2025-08-04,-1.0450255556240506
2025-08-05,2.0958291194635663
2025-08-06,2.3127160058854273
2025-08-07,0.019658185983338683
2025-08-08,9.376692288826995
2025-08-09,4.0037317672715815
2025-08-10,5.261831469425317
2025-08-11,4.613250475466181
2025-08-12,2.9921586425237763
2025-08-13,4.725615331257366
2025-08-14,6.075054572478109
2025-08-15,5.347781325166601
2025-08-16,1.3725284860004336
2025-08-17,-1.9028275137440502
2025-08-18,1.812401579006206
2025-08-19,2.652282046408793
2025-08-20,3.8630714288247745
2025-08-21,2.82235688162757
2025-08-22,2.656090697501746
2025-08-23,3.7600497353371907
2025-08-24,2.520115030899774
2025-08-25,7.814177361894195
2025-08-26,1.3448706681691789
2025-08-27,6.630963377817178
2025-08-28,6.249353745113925
2025-08-29,7.623711873986487
2025-08-30,5.718121979703078
2025-08-31,4.68309897941991
